ENYRFV_LH,BOYRFV_LH,The Hook of Blessing and Compassion[1],༄༅། །དྲིན་ཆེན་བླ་མ་འབྲུག་ཆེན་འགྲོ་འདུལ་དཔའ་བོ་རྡོ་རྗེའི་རྣམ་ཐར་ཅུང་ཟད་དྲན་པའི་སྒོ་ནས་གསོལ་བ་འདེབས་པ་བྱིན་རླབས་ཐུགས་རྗེའི་ལྕགས་ཀྱུ་ཞེས་བྱ་བ་བཞུགས་སོ། །
ENKGKI_LH,BOKGKI_LH,Advice for Beginners: How to Overcome Obstacles to Meditation,༄༅། །ལས་དང་པོ་པའི་བསྒོམ་གྱི་གེགས་སེལ་བཞུགས།
ENEUWE_LH,BOEUWE_LH,"Advice for Sangye Drönma, a Nun from Tsering Jong in Yoru, Central Tibet",༄༅། །དབུས་པ་གཡོ་རུ་ཚེ་རིང་ལྗོངས་བཙུན་མ་སངས་རྒྱས་སྒྲོན་མ་ལ་གདམས་པ།
ENTPT0_LH,BOTPT0_LH,A Concise Explanation of Gaṇacakra,༄༅། །ཚོགས་ཀྱི་རྣམ་བཤད་བསྡུས་པ་བཞུགས་སོ། །
EN663J_LH,BO663J_LH,Notes on the Heart-Essence Practices of the Channels and Wind-Energies,༄༅། །སྙིང་ཐིག་རྩ་རླུང་ཟིན་བྲིས་བཞུགས།
EN21EF_LH,BO21EF_LH,A Brief Biography of Jamgön Kongtrul Lodrö Thaye,༄༅། །ཀོང་སྤྲུལ་ཡོན་ཏན་རྒྱ་མཚོའི་རྣམ་ཐར་མདོར་བསྡུས།
EN9PGL_LH,BO9PGL_LH,Brief Biography of Jamyang Khyentse Wangpo the Great,༄༅། །འཇམ་དབྱངས་མཁྱེན་བརྩེའི་དབང་པོའི་རྣམ་ཐར་མདོར་བསྡུས།
END6QN_LH,BOD6QN_LH,A Brief Biography of Dza Patrul Rinpoche (1808-1887),༄༅། །རྫ་དཔལ་སྤྲུལ་རིན་པོ་ཆེའི་རྣམ་ཐར་མདོར་བསྡུས།
ENCPAZ_LH,BOCPAZ_LH,The Life of Shechen Gyaltsab Gyurme Pema Namgyal (1871–1926),༄༅། །ཞེ་ཆེན་རྒྱལ་ཚབ་འགྱུར་མེད་པདྨ་རྣམ་རྒྱལ་གྱི་རྣམ་ཐར་མདོར་བསྡུས།
EN7L9C_LH,BO7L9C_LH,Brief Biography of Drakkar Lobzang Palden,༄༅། །བྲག་དཀར་བློ་བཟང་དཔལ་ལྡན་གྱི་རྣམ་ཐར་མདོར་བསྡུས།
ENU65D_LH,BOU65D_LH,Brief Biography of Pema Kunzang Rangdrol (1916–1984),༄༅། །མཁར་ལེགས་སྤྲུལ་སྐུ་པད་ཀུན་བཟང་རང་གྲོལ་མཆོག་གི་ལོ་རྒྱུས་མདོར་བསྡུས།
ENPCWS_LH,BOPCWS_LH,A Brief Biography of Tāranātha,༄༅། །ཏཱ་ར་ནཱ་ཐའི་རྣམ་ཐར་རགས་བསྡུས་བཞུགས།
ENNLT8_LH,BONLT8_LH,A Brief Presentation of the Nine Vehicles,༄༅། །ཐེག་དགུའི་རྣམ་བཞག་མདོར་བསྡུས།
ENDCAO_LH,BODCAO_LH,"Light from the Wisdom Sun A Sādhana of Noble Mañjuśrī, Supreme Deity of Deities 1. Taking Refuge and Arousing Bodhichitta 2. The Seven Branch Practice The Main Practice Conclusion 1. Offering and Praise 2. Prayer 3. Dissolution 4. Dedication of Merit",༄༅། །ལྷག་པའི་ལྷ་མཆོག་རྗེ་བཙུན་འཇམ་དཔལ་དབྱངས་ཀྱི་སྒྲུབ་ཐབས་ཤེས་རབ་ཉིན་བྱེད་སྣང་བ་ཞེས་བྱ་བ་བཞུགས།
EN8XZ2_LH,BO8XZ2_LH,A Brief Biography of Böpa Tulku Dongak Tenpe Nyima,༄༅། །བོད་པ་སྤྲུལ་སྐུའི་རྣམ་ཐར་ཉུང་བསྡུས་བཞུགས།
EN98ES_LH,BO98ES_LH,Advice in Three Sets of Three,༄༅། །གནད་ཀྱི་གདམས་ངག་གསུམ་ཚན་གསུམ་བཞུགས།
ENCGII_LH,BOCGII_LH,A Beautiful Lotus Garland,༄༅། །ཆོས་རྗེ་ཐམས་ཅད་མཁྱེན་པ་བུ་སྟོན་རིན་ཆེན་གྲུབ་ལ་བསྟོད་པ་ཀ་མ་ལའི་ཕྲེང་མཛེས་བཞུགས་སོ། །
EN3PUH_LH,BO3PUH_LH,Spontaneous Advice Connected with a Prayer,༄༅།། །གསོལ་འདེབས་དང་འབྲེལ་བའི་ཞལ་གདམས་ཐོལ་བྱུང་མ་བཞུགས་སོ།།
ENRNQQ_LH,BORNQQ_LH,Benefits of Saving Lives,༄༅། །ཚེ་ཐར་ཕན་ཡོན་བཞུགས་སོ། །
ENKYUV_LH,BOKYUV_LH,Words of Advice,༄༅། །ཞལ་གདམས། །
ENK3V3_LH,BOK3V3_LH,Introduction to The Excellent Path of Devotion,༄༅། །སྔོན་བརྗོད།
