TMALPI_LH,Magnetizing Prayer,༄༅། །དབང་སྡུད་གསོལ་འདེབས།
TMFYCQ_LH,Prayer to Drukpa Kunley,༄༅། །འབྲུག་པ་ཀུན་ལེགས་ལ་གསོལ་བ་འདེབས་པ།
TM60L1_LH,Windhorse Practice of Tārā,༄༅། །སྒྲོལ་མའི་ཀླུང་རྟ།
TMDXZ3_LH,The Falling Rain of Blessings A Brief Daily Practice of the Wealth Deity White Jambhala,༄༅། །ནོར་ལྷ་ཛཾ་དཀར་གྱི་རྒྱུན་ཁྱེར་ཉུང་བསྡུས་བྱིན་རླབས་ཆར་འབེབས་བཞུགས་སོ།།
TMJEHK_LH,"The Ambrosia of Blessings A Prayer to Drodül Pawo Dorje, Vidyādhara of Unparalleled Kindness",༄༅། །བཀའ་དྲིན་མཉམ་མེད་རིག་འཛིན་འགྲོ་འདུལ་དཔའ་བོ་རྡོ་རྗེ་ལ་གསོལ་བ་འདེབས་པ་བྱིན་རླབས་བདུད་རྩི་ཞེས་བྱ་བ།
TMFJXM_LH,An Authentic Liturgy for Daily Practice of the Treasure Text of Transference: Enlightenment Without Meditation from The Heart-Essence of the Vast Expanse 'Inserting the Grass-stalk’ Prayer 3 Sky Dharma Transference Prayer 4,༄༅། །ཀློང་ཆེན་སྙིང་གི་ཐིག་ལེ་ལས༔ འཕོ་བ་མ་བསྒོམས་སངས་རྒྱས་རྒྱུན་གྱི་ཉམས་ལེན་གཏེར་གཞུང་གི་དགོངས་པ་འཁྲུལ་མེད་ཁྲིགས་སུ་བསྡེབས་པ།
TMGUMI_LH,"Victorious in the Battle with the Four Demons A Prayer to the Lineage of the Wrathful Guru, Hayagrīva and Garuḍa",༄༅། །དྲག་པོ་རྟ་ཁྱུང་གསོལ་འདེབས་བདུད་བཞིའི་གཡུལ་རྒྱལ།
TMXBWP_LH,"A Prayer to the Precious Teacher of Incomparable Kindness, Jamyang Lungtok Gyaltsen",༄༅། །བཀའ་དྲིན་མཚུངས་མེད་བླ་མ་རིན་པོ་ཆེ་ལུང་རྟོགས་རྒྱལ་མཚན་གྱི་གསོལ་འདེབས། །
TMND3W_LH,A Prayer to Tārā,༄༅། །སྒྲོལ་མ་ལ་གསོལ་འདེབས་བཞུགས།
TM0MN5_LH,A Synopsis of Guru Padmasambhava’s Life,༄༅། །བཀའ་བསྡུས་བཞུགས།
TMDQ0O_LH,Prayer for the Long Life of Alak Zenkar Rinpoche,༄༅། །གཟན་དཀར་རིན་པོ་ཆེའི་ཞབས་བརྟན་གསོལ་འདེབས།
TMKOFO_LH,Long Life Prayer for Patrick Gaffney (Yeshé Wangyal),༄༅། །ཕ་ཁྲིགས་ཡེ་ཤེས་དབང་རྒྱལ་གྱི་ཞབས་བརྟན་གསོལ་འདེབས།
TMOVFE_LH,Prayer for the Long Life of Alak Zenkar Rinpoche,༄༅། །ཞབས་བརྟན་གསོལ་འདེབས།
TM5CZW_LH,Prayer for the Long Life of Alak Zenkar Rinpoche,༄༅། །ཞབས་བརྟན་བཞུགས།
TM3YMR_LH,Prayer for the Long Life of Alak Zenkar Rinpoche,༄༅། །ཨ་ལགས་གཟན་དཀར་རིན་པོ་ཆེའི་ཞབས་བརྟན་གསོལ་འདེབས།
TMVVK8_LH,"Prayer for the Long Life of Alak Zenkar Rinpoche, the Incarnation of Do Khyentsé Yeshé Dorjé",༄༅། །མདོ་མཁྱེན་བརྩེ་ཡེ་ཤེས་རྡོ་རྗེའི་སྤྲུལ་པའི་རོལ་གར་ཨ་ལགས་གཟན་དཀར་རིན་པོ་ཆེའི་ཞབས་བརྟན་གསོལ་འདེབས། །
TMEI3U_LH,Prayer for the Swift Rebirth of Pewar Rinpoche,༄༅། །མྱུར་བྱོན་གསོལ་འདེབས།
TMC77E_LH,A Prayer for the Swift Rebirth of Tenpai Nyima Rinpoche,༄༅། །མྱུར་འབྱོན་གསོལ་འདེབས་བཞུགས་སོ།།
TMTOBG_LH,Prayer for Swift Rebirth of Dodrupchen Rinpoche,༄༅། །མྱུར་བྱོན་གསོལ་འདེབས།
TMO1NA_LH,"The Jewelled Garland An Aspiration for the Spread of the Teachings of the Omniscient Father and Son, Masters of the Teachings of the Ancient Translations",༄༅། །སྔ་འགྱུར་བསྟན་པའི་བདག་པོ་ཀུན་མཁྱེན་ཡབ་སྲས་ཀྱི་བསྟན་པ་རྒྱས་པའི་སྨོན་ཚིག་ནོར་བུའི་ཕྲེང་བ།
TMHGNH_LH,A Prayer for Auspiciousness,༄༅། །བཀྲ་ཤིས་སྨོན་ལམ་བཞུགས༔
TMZJXQ_LH,A Prayer to Chöying Dorje,༄༅། །ཆོས་དབྱིངས་རྡོ་རྗེའི་གསོལ་འདེབས་བཞུགས༔
TMPUU0_LH,A Prayer to Mañjuśrī,༄༅། །འཇམ་དཔལ་གསོལ་འདེབས་བཞུགས༔
TM2L5R_LH,A Prayer to Yumka Tsogyal,༄༅། །ཡུམ་ཀ་མཚོ་རྒྱལ་གྱི་གསོལ་འདེབས་བཞུགས༔
TMXQ1U_LH,A Short Prayer to Chöying Dorje,༄༅། །ཆོས་དབྱིངས་རྡོ་རྗེའི་གསོལ་འདེབས་བཞུགས༔
TMWY2A_LH,Daily Practice of Vajrakīla,༄༅། །ཕུར་པའི་རྒྱུན་ཁྱེར།
TM6OS8_LH,Invoking the Blessings of the Kagyü Lineage—‘Dorjechang Thungma’,༄༅། །གསོལ་འདེབས་རྡོ་རྗེ་འཆང་ཐུང་མ། །
TMTTCP_LH,Prayer to Butön Rinpoche,༄༅། །བུ་སྟོན་རིན་པོ་ཆེའི་གསོལ་འདེབས།
